Period,Category,Account Code,Budget Amount
2026-W24,revenue,4000,50924
2026-W25,revenue,4000,50924
2026-W26,revenue,4000,50924
2026-W27,revenue,4000,50924
2026-W28,revenue,4000,50924
2026-W29,revenue,4000,50924
2026-W30,revenue,4000,50924
2026-W31,revenue,4000,50924
2026-W32,revenue,4000,50924
2026-W33,revenue,4000,50924
2026-W34,revenue,4000,50924
2026-W35,revenue,4000,50924
2026-W36,revenue,4000,50924
2026-W24,payroll,5000,16961
2026-W25,payroll,5000,16961
2026-W26,payroll,5000,16961
2026-W27,payroll,5000,16961
2026-W28,payroll,5000,16961
2026-W29,payroll,5000,16961
2026-W30,payroll,5000,16961
2026-W31,payroll,5000,16961
2026-W32,payroll,5000,16961
2026-W33,payroll,5000,16961
2026-W34,payroll,5000,16961
2026-W35,payroll,5000,16961
2026-W36,payroll,5000,16961
2026-W24,expenses,6000,22159
2026-W25,expenses,6000,22159
2026-W26,expenses,6000,22159
2026-W27,expenses,6000,22159
2026-W28,expenses,6000,22159
2026-W29,expenses,6000,22159
2026-W30,expenses,6000,22159
2026-W31,expenses,6000,22159
2026-W32,expenses,6000,22159
2026-W33,expenses,6000,22159
2026-W34,expenses,6000,22159
2026-W35,expenses,6000,22159
2026-W36,expenses,6000,22159
