Period,Category,Account Code,Actual Amount
2026-W09,revenue,4000,30808
2026-W10,revenue,4000,31813
2026-W11,revenue,4000,33487
2026-W12,revenue,4000,34157
2026-W13,revenue,4000,35162
2026-W14,revenue,4000,34492
2026-W15,revenue,4000,32818
2026-W16,revenue,4000,33487
2026-W17,revenue,4000,34827
2026-W18,revenue,4000,35497
2026-W19,revenue,4000,33822
2026-W20,revenue,4000,32483
2026-W21,revenue,4000,34492
2026-W22,revenue,4000,35162
2026-W09,payroll,5000,15704
2026-W10,payroll,5000,15704
2026-W11,payroll,5000,15704
2026-W12,payroll,5000,15704
2026-W13,payroll,5000,15704
2026-W14,payroll,5000,15704
2026-W15,payroll,5000,15704
2026-W16,payroll,5000,15704
2026-W17,payroll,5000,15704
2026-W18,payroll,5000,15704
2026-W19,payroll,5000,15704
2026-W20,payroll,5000,15704
2026-W21,payroll,5000,15704
2026-W22,payroll,5000,15704
2026-W09,expenses,6000,5081
2026-W10,expenses,6000,5081
2026-W11,expenses,6000,5081
2026-W12,expenses,6000,5081
2026-W13,expenses,6000,5081
2026-W14,expenses,6000,5081
2026-W15,expenses,6000,5081
2026-W16,expenses,6000,5081
2026-W17,expenses,6000,5081
2026-W18,expenses,6000,5081
2026-W19,expenses,6000,5081
2026-W20,expenses,6000,5081
2026-W21,expenses,6000,5081
2026-W22,expenses,6000,5081
