Period,Category,Account Code,Budget Amount
2026-W28,revenue,4000,20612
2026-W29,revenue,4000,20612
2026-W30,revenue,4000,20612
2026-W31,revenue,4000,20612
2026-W32,revenue,4000,20612
2026-W33,revenue,4000,20612
2026-W34,revenue,4000,20612
2026-W35,revenue,4000,20612
2026-W36,revenue,4000,20612
2026-W37,revenue,4000,20612
2026-W38,revenue,4000,20612
2026-W39,revenue,4000,20612
2026-W40,revenue,4000,20612
2026-W28,payroll,5000,12249
2026-W29,payroll,5000,12249
2026-W30,payroll,5000,12249
2026-W31,payroll,5000,12249
2026-W32,payroll,5000,12249
2026-W33,payroll,5000,12249
2026-W34,payroll,5000,12249
2026-W35,payroll,5000,12249
2026-W36,payroll,5000,12249
2026-W37,payroll,5000,12249
2026-W38,payroll,5000,12249
2026-W39,payroll,5000,12249
2026-W40,payroll,5000,12249
2026-W28,expenses,6000,6065
2026-W29,expenses,6000,6065
2026-W30,expenses,6000,6065
2026-W31,expenses,6000,6065
2026-W32,expenses,6000,6065
2026-W33,expenses,6000,6065
2026-W34,expenses,6000,6065
2026-W35,expenses,6000,6065
2026-W36,expenses,6000,6065
2026-W37,expenses,6000,6065
2026-W38,expenses,6000,6065
2026-W39,expenses,6000,6065
2026-W40,expenses,6000,6065
