Period,Category,Account Code,Actual Amount
2026-W13,revenue,4000,19630
2026-W14,revenue,4000,19238
2026-W15,revenue,4000,20023
2026-W16,revenue,4000,20612
2026-W17,revenue,4000,19042
2026-W18,revenue,4000,19630
2026-W19,revenue,4000,20219
2026-W20,revenue,4000,19827
2026-W21,revenue,4000,19434
2026-W22,revenue,4000,20416
2026-W23,revenue,4000,20023
2026-W24,revenue,4000,19238
2026-W25,revenue,4000,19827
2026-W26,revenue,4000,19630
2026-W13,payroll,5000,12009
2026-W14,payroll,5000,12009
2026-W15,payroll,5000,12009
2026-W16,payroll,5000,12009
2026-W17,payroll,5000,12009
2026-W18,payroll,5000,12009
2026-W19,payroll,5000,12009
2026-W20,payroll,5000,12009
2026-W21,payroll,5000,12009
2026-W22,payroll,5000,12009
2026-W23,payroll,5000,12009
2026-W24,payroll,5000,12009
2026-W25,payroll,5000,12009
2026-W26,payroll,5000,12009
2026-W13,expenses,6000,6005
2026-W14,expenses,6000,6005
2026-W15,expenses,6000,6005
2026-W16,expenses,6000,6005
2026-W17,expenses,6000,6005
2026-W18,expenses,6000,6005
2026-W19,expenses,6000,6005
2026-W20,expenses,6000,6005
2026-W21,expenses,6000,6005
2026-W22,expenses,6000,6005
2026-W23,expenses,6000,6005
2026-W24,expenses,6000,6005
2026-W25,expenses,6000,6005
2026-W26,expenses,6000,6005
