Period,Category,Account Code,Actual Amount
2026-W09,revenue,4000,75381
2026-W10,revenue,4000,73903
2026-W11,revenue,4000,72425
2026-W12,revenue,4000,74642
2026-W13,revenue,4000,76120
2026-W14,revenue,4000,73903
2026-W15,revenue,4000,73164
2026-W16,revenue,4000,75381
2026-W17,revenue,4000,76859
2026-W18,revenue,4000,74642
2026-W19,revenue,4000,71686
2026-W20,revenue,4000,73903
2026-W21,revenue,4000,76120
2026-W22,revenue,4000,75381
2026-W09,payroll,5000,28868
2026-W10,payroll,5000,28868
2026-W11,payroll,5000,28868
2026-W12,payroll,5000,28868
2026-W13,payroll,5000,28868
2026-W14,payroll,5000,28868
2026-W15,payroll,5000,28868
2026-W16,payroll,5000,28868
2026-W17,payroll,5000,28868
2026-W18,payroll,5000,28868
2026-W19,payroll,5000,28868
2026-W20,payroll,5000,28868
2026-W21,payroll,5000,28868
2026-W22,payroll,5000,28868
2026-W09,expenses,6000,20323
2026-W10,expenses,6000,20323
2026-W11,expenses,6000,20323
2026-W12,expenses,6000,20323
2026-W13,expenses,6000,20323
2026-W14,expenses,6000,20323
2026-W15,expenses,6000,20323
2026-W16,expenses,6000,20323
2026-W17,expenses,6000,20323
2026-W18,expenses,6000,20323
2026-W19,expenses,6000,20323
2026-W20,expenses,6000,20323
2026-W21,expenses,6000,20323
2026-W22,expenses,6000,20323
